pond_id,region,enrollment_date,pond_type,added_by,pond_area_acres,depth_meters,equipment,feed_type
pond_3da22c74,West Godavari,2025-07-01,Treatment,Praveen,11.2,1.5,"6 aerator, 1 water pump",DORB
pond_d2e83c32,West Godavari,2025-06-11,Treatment,Praveen,3.2,1.5,"5 aerator, 1 water pump",DORB
pond_b36b9eee,West Godavari,2025-06-11,Treatment,Praveen,48.0,1.5,1 water pump,DORB
pond_583a1334,West Godavari,2025-06-11,Treatment,Praveen,51.0,1.5,"3 aerator, 1 water pump",DORB
pond_6a5ab9d0,West Godavari,2025-06-09,Treatment,Praveen,2.9,1.5,1 water pump,DORB
pond_2855b437,West Godavari,2025-06-09,Treatment,Praveen,18.0,1.5,1 water pump,DORB
pond_b9aedd06,West Godavari,2025-06-09,Treatment,Praveen,2.8,1.5,1 water pump,DORB
pond_6fa8a2a5,West Godavari,2025-06-09,Treatment,Praveen,3.6,1.5,1 water pump,DORB
pond_0a3f9f76,West Godavari,2025-06-09,Treatment,Praveen,28.0,1.5,1 water pump,DORB
pond_868241e3,West Godavari,2025-06-09,Treatment,Praveen,12.5,1.5,1 water pump,DORB
pond_a72a9ad7,West Godavari,2025-06-09,Treatment,Praveen,5.7,1.5,1 water pump,DORB
pond_715ebd01,West Godavari,2025-06-09,Treatment,Praveen,38.0,1.5,"4 aerator, 1 water pump",DORB
pond_5c0b4414,West Godavari,2025-06-09,Treatment,Praveen,48.0,1.5,"5 aerator, 1 water pump",DORB
pond_319c1ff7,West Godavari,2025-06-03,Treatment,Praveen,15.0,1.5,1 water pump,DORB
pond_56e8a695,West Godavari,2025-06-03,Treatment,Praveen,29.0,1.5,1 water pump,DORB
pond_35f0d376,West Godavari,2025-06-03,Treatment,Praveen,44.0,1.5,1 water pump,DORB
pond_304a9d41,West Godavari,2025-05-27,Treatment,Praveen,2.8,1.5,"3 aerator, 1 water pump",DORB
pond_e95651d9,West Godavari,2025-05-05,Treatment,Praveen,4.2,1.5,1 water pump,DORB
pond_05f65197,West Godavari,2025-05-05,Treatment,Praveen,3.5,1.5,1 water pump,DORB
pond_17b6d1f2,West Godavari,2025-05-05,Treatment,Praveen,54.0,1.5,1 water pump,DORB
pond_a1a3333d,West Godavari,2025-05-05,Treatment,Praveen,38.0,1.5,1 water pump,DORB
pond_d81b6f9f,West Godavari,2025-05-05,Treatment,Praveen,8.5,1.5,1 water pump,DORB
pond_439eae87,West Godavari,2025-03-24,Treatment,Praveen,8.0,1.5,1 water pump,DORB
pond_16becad9,West Godavari,2025-03-24,Treatment,Praveen,13.5,1.5,1 water pump,DORB
pond_166e730f,West Godavari,2025-03-24,Treatment,Praveen,36.5,1.5,1 water pump,DORB
pond_05d9df8f,West Godavari,2025-03-19,Treatment,Praveen,9.5,1.5,2 water pump,DORB
pond_251e0d5b,West Godavari,2025-03-19,Treatment,Praveen,30.0,1.5,2 water pump,DORB
pond_17e22e23,West Godavari,2025-03-19,Control,Praveen,9.5,1.5,1 water pump,DORB
pond_7472ede8,West Godavari,2025-03-18,Treatment,Praveen,10.3,1.5,"1 aerator, 1 water pump",DORB
pond_e797c43a,West Godavari,2025-03-17,Treatment,Praveen,13.5,1.5,1 water pump,DORB
pond_e25b2cfc,West Godavari,2025-03-17,Control,Praveen,14.6,1.5,"2 aerator, 1 water pump",DORB
pond_2fd8194c,West Godavari,2025-03-12,Treatment,Praveen,37.5,1.5,2 water pump,DORB
pond_cf980f71,West Godavari,2025-03-12,Treatment,Praveen,42.5,1.5,2 water pump,DORB
pond_47f64c85,West Godavari,2025-02-28,Treatment,Praveen,10.0,1.5,1 water pump,DORB
pond_b296eebf,West Godavari,2025-02-25,Treatment,Praveen,38.5,1.5,1 water pump,DORB
pond_60e4cad8,West Godavari,2025-02-24,Treatment,Praveen,10.5,1.5,1 water pump,DORB
pond_6526e587,West Godavari,2025-02-20,Treatment,Praveen,30.0,1.5,1 water pump,DORB
pond_8902ecd3,West Godavari,2025-02-14,Control,Praveen,22.0,1.5,1 water pump,DORB
pond_4a880fc8,West Godavari,2025-02-14,Control,Praveen,28.5,1.5,"2 aerator, 1 water pump",DORB
pond_7eadb9bf,West Godavari,2025-02-14,Control,Praveen,35.0,1.5,"3 aerator, 1 water pump",DORB
pond_9644548f,West Godavari,2025-02-14,Control,Praveen,21.5,1.5,"1 aerator, 1 water pump",DORB
pond_2781ed8d,West Godavari,2025-02-14,Treatment,Praveen,1.1,1.5,1 water pump,DORB
pond_a32076ad,West Godavari,2025-02-14,Treatment,Praveen,5.3,1.5,1 water pump,DORB
pond_b6292420,West Godavari,2025-02-14,Treatment,Praveen,4.2,1.5,1 water pump,DORB
pond_b3ee7ac9,West Godavari,2025-02-07,Treatment,Praveen,23.5,1.5,1 water pump,DORB
pond_5f07dc7a,West Godavari,2025-02-06,Treatment,Praveen,10.5,1.5,1 water pump,DORB
pond_44865e41,West Godavari,2025-02-06,Treatment,Praveen,7.0,1.5,1 water pump,DORB
pond_74ea5a99,West Godavari,2025-02-06,Treatment,Praveen,19.5,1.5,1 water pump,DORB
pond_0b61fd61,West Godavari,2025-02-05,Treatment,Praveen,9.0,1.5,1 water pump,DORB
pond_46bbdb3a,West Godavari,2025-01-21,Treatment,Praveen,10.1,1.5,1 water pump,DORB
pond_c5b49325,West Godavari,2025-01-21,Treatment,Praveen,5.0,1.5,1 water pump,DORB
pond_69509b5b,West Godavari,2025-01-21,Treatment,Praveen,20.0,1.5,1 water pump,DORB
pond_fb9877ae,West Godavari,2025-01-02,Treatment,Praveen,17.0,1.5,1 water pump,DORB
pond_522cd38a,West Godavari,2025-01-02,Treatment,Praveen,19.0,1.5,1 water pump,DORB
pond_08867f11,West Godavari,2025-01-02,Treatment,Praveen,43.0,1.5,1 water pump,DORB
pond_f5ca6183,West Godavari,2025-01-02,Treatment,Praveen,7.7,1.5,1 water pump,DORB
pond_e6185c34,West Godavari,2024-12-20,Control,Praveen,22.5,1.5,1 water pump,DORB
pond_0b0963e5,West Godavari,2024-12-18,Treatment,Praveen,5.6,1.5,1 water pump,DORB
pond_27785ee9,West Godavari,2024-12-11,Treatment,Praveen,1.5,1.5,,DORB
pond_690fd7d6,West Godavari,2024-12-11,Treatment,Praveen,6.75,1.5,1 water pump,DORB
pond_90dd090b,West Godavari,2024-12-11,Control,Praveen,27.0,1.5,1 water pump,DORB
pond_02b8575a,West Godavari,2024-11-09,Treatment,Praveen,24.7,1.5,1 water pump,DORB
pond_adeaf27b,West Godavari,2024-11-09,Treatment,Praveen,29.0,1.5,1 water pump,DORB
pond_21320075,West Godavari,2024-11-09,Treatment,Praveen,32.5,1.5,1 water pump,DORB
pond_c2dd8e7c,West Godavari,2024-11-04,Control,Praveen,44.0,1.5,1 water pump,DORB
pond_369dc183,West Godavari,2024-10-05,Treatment,Praveen,21.2,1.5,"2 aerator, 1 water pump",DORB
pond_7ef7fef9,West Godavari,2024-10-05,Treatment,Praveen,1.23,1.5,"1 aerator, 1 water pump",DORB
pond_bed02137,West Godavari,2024-10-05,Treatment,Praveen,1.35,1.5,"1 aerator, 1 water pump",DORB
pond_7917cb8e,West Godavari,2024-10-01,Treatment,Praveen,3.2,1.5,1 water pump,DORB
pond_195e5b24,West Godavari,2024-10-01,Treatment,Praveen,23.5,1.5,2 water pump,DORB
pond_5557d8af,West Godavari,2024-10-01,Treatment,Praveen,16.8,1.5,2 water pump,DORB
pond_f6d09111,West Godavari,2024-10-01,Treatment,Praveen,1.5,1.5,1 water pump,DORB
pond_d7feb952,West Godavari,2024-10-01,Treatment,Praveen,6.3,1.5,1 water pump,DORB
pond_d5629838,West Godavari,2024-09-18,Control,Praveen,28.7,1.5,1 water pump,DORB
pond_49ea61c0,West Godavari,2024-09-18,Treatment,Praveen,18.5,1.5,1 water pump,DORB
pond_c01f770d,West Godavari,2024-09-18,Control,Praveen,16.5,1.5,1 water pump,DORB
pond_aae02d77,West Godavari,2024-09-18,Treatment,Praveen,8.0,1.5,2 water pump,DORB
pond_ef747ffa,West Godavari,2024-09-18,Treatment,Praveen,47.5,1.5,"4 aerator, 2 water pump",DORB
pond_3a0067e4,West Godavari,2024-09-18,Treatment,Praveen,4.75,1.5,1 water pump,DORB
pond_c2458988,West Godavari,2024-09-18,Treatment,Praveen,17.3,1.5,1 water pump,DORB
pond_05edabe9,West Godavari,2024-09-13,Treatment,Praveen,18.8,1.5,1 water pump,DORB
pond_6772b310,West Godavari,2024-09-13,Treatment,Praveen,9.0,1.5,1 water pump,DORB
pond_cc547e32,West Godavari,2024-09-13,Treatment,Praveen,3.7,1.5,1 water pump,DORB
pond_80e22f42,West Godavari,2024-09-13,Treatment,Praveen,27.0,1.5,1 water pump,DORB
pond_60dd3196,West Godavari,2024-08-29,Treatment,Praveen,3.65,1.5,1 water pump,DORB
pond_41a4dead,West Godavari,2024-08-29,Treatment,Praveen,36.7,1.5,1 water pump,DORB
pond_d8d30ad3,West Godavari,2024-08-29,Treatment,Praveen,31.0,1.5,1 water pump,DORB
pond_283dc502,West Godavari,2024-08-29,Treatment,Praveen,37.0,1.5,1 water pump,DORB
pond_44f24b9a,West Godavari,2024-08-29,Treatment,Praveen,22.5,1.5,"6 aerator, 1 water pump",DORB
pond_cc57546e,West Godavari,2024-08-29,Control,Praveen,14.8,1.5,1 water pump,DORB
pond_f5213f43,West Godavari,2024-08-29,Control,Praveen,11.5,1.5,1 water pump,DORB
pond_984a8534,West Godavari,2024-08-29,Treatment,Chaitanya,18.0,2.0,"2 aerator, 2 water pump, 1 Motor Boat",DORB
pond_dd9c12ef,West Godavari,2024-08-29,Treatment,Chaitanya,5.5,2.0,"1 water pump, 1 Motor boat",DORB
pond_4e07e1a3,West Godavari,2024-08-14,Control,Chaitanya,32.2,2.0,"1 water pump, 1 Motor boat",DORB
pond_a59c9ac7,West Godavari,2024-08-14,Control,Chaitanya,44.6,2.0,"1 water pump, 1 Motor Boat",DORB
pond_a6578b7f,West Godavari,2024-08-14,Control,Chaitanya,31.45,2.0,"4 aerator, 1 water pump, 1 Motor Boat",DORB
pond_5c2246d5,West Godavari,2024-06-26,Treatment,Chaitanya,34.0,2.0,"3 aerator, 3 water pump",DORB
pond_a47e2d27,West Godavari,2024-06-26,Treatment,Chaitanya,16.0,2.0,1 water pump,DORB
pond_d85b342c,West Godavari,2024-06-26,Treatment,Chaitanya,15.72,2.0,"1 water pump, Aeration Motor boat",DORB
pond_988c1692,West Godavari,2024-06-21,Treatment,Chaitanya,23.97,1.5,"2 water pump, One aeration motor boat",DORB
pond_348a1d24,West Godavari,2024-06-21,Control,Chaitanya,45.88,2.0,"3 water pump, Two boat motor pumps",DORB
pond_a80e42b6,West Godavari,2024-06-17,Treatment,Chaitanya,4.37,1.5,1 water pump,DORB
pond_9252e874,West Godavari,2024-06-10,Treatment,Chaitanya,9.2,1.5,1 water pump,DORB
pond_f9218e7b,West Godavari,2024-06-10,Treatment,Chaitanya,18.1,1.5,"4 aerator, 1 water pump",DORB
pond_8a8b9562,West Godavari,2024-06-09,Treatment,Chaitanya,11.08,1.5,1 water pump,DORB
pond_8bf8a86a,West Godavari,2024-06-07,Treatment,Chaitanya,2.74,1.5,"1 aerator, 1 water pump",DORB
pond_e2db7a6b,West Godavari,2024-06-07,Treatment,Chaitanya,3.0,1.5,1 water pump,DORB
pond_74f8f457,West Godavari,2024-05-10,Treatment,Chaitanya,7.04,1.5,3 aerator,Mash
pond_a5c0fc15,West Godavari,2024-05-10,Treatment,Chaitanya,8.94,1.5,"4 aerator, 1 water pump",Mash
pond_853f211a,West Godavari,2024-05-10,Treatment,Chaitanya,13.5,1.5,2 aerator,Mash
pond_f69b5a88,West Godavari,2024-05-10,Treatment,Chaitanya,13.89,1.5,"2 aerator, 1 water pump",Mash
pond_3d8cae54,West Godavari,2024-05-10,Treatment,Chaitanya,24.0,1.5,"3 aerator, 1 water pump, Motor boat with aeration",Mash
pond_bee2e7f5,West Godavari,2024-05-06,Treatment,Chaitanya,2.72,1.5,"2 aerator, 1 water pump",Mash
pond_55356fc9,West Godavari,2024-04-26,Control,Chaitanya,21.2,1.5,"1 aerator, 1 water pump, 1 Motor Boat",Mash
pond_ac7bb683,West Godavari,2024-04-26,Treatment,Chaitanya,17.2,1.5,"1 aerator, 1 water pump, Motor Boat",Mash
pond_e5db19e4,West Godavari,2024-04-22,Treatment,Chaitanya,7.0,1.5,1 water pump,Mash
