pond_id,region,event_date,event_type,logged_by,lifecycle_stage,species,species_ratio,target_weight_grams,average_weight_grams,intended_stocking_density_per_acre,actual_stocking_density_per_acre,fish_harvested_kg,fish_remaining_individuals,harvest_reason,pond_preparation_done
pond_44865e41,West Godavari,2026-01-06,Partial harvest,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",,,80.0,,,,140000,Planned harvest,
pond_74ea5a99,West Godavari,2026-01-06,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,50.0,6667,6667.0,,,,False
pond_47f64c85,West Godavari,2026-01-05,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,300.0,,,,0,Planned harvest,
pond_f18f1d57,Nellore,2026-01-05,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,550.0,,,3025,0,Planned harvest,
pond_09f0cd92,Nellore,2026-01-04,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1200.0,,,22800,0,Planned harvest,
pond_5f07dc7a,West Godavari,2026-01-02,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300.0,100.0,4190,4190.0,,,,False
pond_ee1be8cb,West Godavari,2025-12-31,Harvest,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,1600.0,,,200000,0,Planned harvest,
pond_bf58902e,Nellore,2025-12-30,Stocking,Chaitanya,Grow-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,250.0,2907,2907.0,,,,True
pond_46bbdb3a,West Godavari,2025-12-26,Partial stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,50.0,5941,5941.0,,,,False
pond_74ea5a99,West Godavari,2025-12-24,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,300.0,,,,0,Planned sale,
pond_51789df8,West Godavari,2025-12-24,Stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,4.0,16000,16000.0,,,,False
pond_c2458988,West Godavari,2025-12-20,Partial stocking,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,150.0,20.0,13931,13931.0,,,,False
pond_3a0067e4,West Godavari,2025-12-20,Partial harvest,Chaitanya,Rearing,"Rohu (Labeo rohita), Catla (Catla catla)",,,20.0,,,,150000,Planned harvest,
pond_51789df8,West Godavari,2025-12-20,Harvest,Chaitanya,Breed-out,"Rohu (Labeo rohita), Catla (Catla catla)",,,254.0,,,,60000,Planned harvest,
