pond_id,region,date,measurement_type,time,group,pond_type,staff_member,equipment,is_follow_up,dissolved_oxygen_mg_l,ph,ammonia_tan_mg_l,ammonia_nh3_mg_l,ammonia_tan_as_nh3_mg_l,turbidity_cm,temperature_c,water_color,tds_ppt,weather,is_in_range,parameters_out_of_range,corrective_action_requested,corrective_action_implemented,corrective_action_effective
pond_5f07dc7a,West Godavari,2026-01-27,Evening,16:05,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), Thermometer #4, pH pen #11",False,11.1,8.31,,,,,26.9,Saturated green,,Sunny,True,,,,
pond_0c63298a,West Godavari,2026-01-27,Evening,15:53,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,10.9,8.38,,,,,28.0,Saturated green,,Sunny,True,,,,
pond_44865e41,West Godavari,2026-01-27,Evening,15:50,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), Thermometer #4, pH pen #11",False,10.6,8.15,,,,,26.8,Light green,,Sunny,True,,,,
pond_8dd26bbf,West Godavari,2026-01-27,Evening,15:47,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,11.8,8.44,,,,,27.9,Dark green,,Sunny,True,,,,
pond_e78b9c9a,West Godavari,2026-01-27,Evening,15:42,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,11.4,8.43,,,,,28.3,Saturated green,,Sunny,True,,,,
pond_74ea5a99,West Godavari,2026-01-27,Evening,15:40,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), Thermometer #4, pH pen #11",False,10.8,8.21,,,,,26.9,Dark green,,Sunny,True,,,,
pond_09e8bfb8,West Godavari,2026-01-27,Evening,15:38,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,11.6,8.48,,,,,28.1,Saturated green,,Sunny,True,,,,
pond_5f07dc7a,West Godavari,2026-01-27,Morning,07:58,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",False,3.7,8.12,,0.0,0.0,,24.1,Saturated green,,Sunny,True,,,,
pond_e78b9c9a,West Godavari,2026-01-27,Morning,07:46,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.2,7.95,,0.01,0.25,,24.4,Saturated green,,Sunny,True,,,,
pond_44865e41,West Godavari,2026-01-27,Morning,07:41,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",False,3.4,8.05,,0.01,0.25,,24.0,Light green,,Sunny,True,,,,
pond_09e8bfb8,West Godavari,2026-01-27,Morning,07:41,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.4,8.19,,0.02,0.25,,24.3,Saturated green,,Sunny,True,,,,
pond_8dd26bbf,West Godavari,2026-01-27,Morning,07:35,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.4,8.08,,0.01,0.25,,24.0,Saturated green,,Sunny,True,,,,
pond_74ea5a99,West Godavari,2026-01-27,Morning,07:30,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, pH pen #11, Thermometer #4",False,3.5,8.11,,0.0,0.0,,23.9,Dark green,,Sunny,True,,,,
pond_0c63298a,West Godavari,2026-01-27,Morning,07:30,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.1,7.97,,0.01,0.25,,24.0,Dark green,,Sunny,True,,,,
pond_44f24b9a,West Godavari,2026-01-23,Evening,16:10,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,10.8,8.22,,,,,26.0,Saturated green,,Sunny,True,,,,
pond_d7feb952,West Godavari,2026-01-23,Evening,15:54,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,10.3,8.24,,,,,26.2,Light green,,Sunny,True,,,,
pond_60dd3196,West Godavari,2026-01-23,Evening,15:45,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,10.5,8.3,,,,,26.1,Light green,,Sunny,True,,,,
pond_d7feb952,West Godavari,2026-01-23,Morning,08:05,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.4,8.11,,0.0,0.0,,24.0,Light green,,Sunny,True,,,,
pond_60dd3196,West Godavari,2026-01-23,Morning,07:52,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.7,8.2,,0.02,0.25,,24.0,Light green,,Sunny,True,,,,
pond_44f24b9a,West Godavari,2026-01-23,Morning,07:40,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.5,8.1,,0.02,0.25,,23.9,Saturated green,,Sunny,True,,,,
pond_1d249330,Nellore,2026-01-22,Evening,17:29,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)",False,8.7,8.23,,,,,33.2,Transparent,,"Sunny, Cloud cover 75%",True,,,,
pond_51789df8,West Godavari,2026-01-22,Evening,16:14,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, pH pen #14",True,11.4,8.47,,,,,27.5,Dark green,,Sunny,True,,,,
pond_a0b42194,West Godavari,2026-01-22,Evening,15:52,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, pH pen #14",True,10.4,8.42,,,,,27.6,Saturated green,,Sunny,True,,,,
pond_ac7bb683,West Godavari,2026-01-22,Evening,15:40,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, pH pen #14",True,11.1,8.37,,,,,27.6,Saturated green,,Sunny,True,,,,
pond_e95651d9,West Godavari,2026-01-22,Evening,15:40,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,10.5,8.05,,,,,25.6,Light green,,Sunny,True,,,,
pond_17b6d1f2,West Godavari,2026-01-22,Evening,15:31,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,10.8,8.09,,,,,25.6,Dark green,,Sunny,True,,,,
pond_917e0459,West Godavari,2026-01-22,Evening,15:30,Regular ara pond,Treatment,Nagaraju P.,"Thermometer #2, Winkler's Method (DO), pH pen #14",False,11.7,8.26,,,,,27.8,Saturated green,,Sunny,True,,,,
pond_51789df8,West Godavari,2026-01-22,Morning,08:12,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",True,3.3,8.11,,0.02,0.25,,24.9,Dark green,,Sunny,True,,,True,True
pond_1d249330,Nellore,2026-01-22,Morning,07:59,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)",False,3.5,7.97,,0.02,0.25,,29.6,Transparent,,"Sunny, Cloud cover 75%, Foggy",True,,,,
pond_a0b42194,West Godavari,2026-01-22,Morning,07:32,Regular ara pond,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",True,3.0,8.04,,0.03,0.5,,24.3,Saturated green,,Sunny,True,,,True,True
pond_e95651d9,West Godavari,2026-01-22,Morning,07:25,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.2,7.76,,0.0,0.0,,22.8,Light green,,Sunny,True,,,,
pond_ac7bb683,West Godavari,2026-01-22,Morning,07:20,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, Thermometer #2, pH pen #14, Winkler's Method (DO)",True,3.2,7.97,,0.01,0.25,,24.6,Saturated green,,Sunny,True,,,True,True
pond_17b6d1f2,West Godavari,2026-01-22,Morning,07:17,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.8,7.97,,0.0,0.0,,22.8,Dark green,,Sunny,True,,,,
pond_917e0459,West Godavari,2026-01-22,Morning,07:09,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.6,7.68,,0.01,0.25,,24.6,Saturated green,,Sunny,True,,,,
pond_439eae87,West Godavari,2026-01-21,Evening,16:20,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,10.6,8.38,,,,,26.1,Dark green,,Sunny,True,,,,
pond_3a0067e4,West Godavari,2026-01-21,Evening,15:55,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,11.3,8.1,,,,,26.0,Light green,,Sunny,True,,,,
pond_bee2e7f5,West Godavari,2026-01-21,Evening,15:50,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,11.9,8.48,,,,,26.9,Saturated green,,Sunny,True,,,,
pond_e2db7a6b,West Godavari,2026-01-21,Evening,15:45,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,10.4,8.45,,,,,26.6,Saturated green,,Sunny,True,,,,
pond_c2458988,West Godavari,2026-01-21,Evening,15:45,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,11.4,8.36,,,,,26.1,Dark green,,Sunny,True,,,,
pond_b7082dc1,West Godavari,2026-01-21,Evening,15:41,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,8.6,8.07,,,,,27.5,Transparent,,Sunny,True,,,,
pond_eb2903bd,West Godavari,2026-01-21,Evening,15:30,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,11.2,8.47,,,,,27.0,Saturated green,,Sunny,True,,,,
pond_439eae87,West Godavari,2026-01-21,Morning,08:12,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.2,8.2,,0.02,0.25,,23.9,Dark green,,Sunny,True,,,,
pond_eb2903bd,West Godavari,2026-01-21,Morning,08:03,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.2,8.22,,0.02,0.25,,23.3,Saturated green,,"Sunny, Foggy",True,,,,
pond_3a0067e4,West Godavari,2026-01-21,Morning,07:57,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.4,7.95,,0.01,0.25,,23.9,Light green,,Sunny,True,,,,
pond_c2458988,West Godavari,2026-01-21,Morning,07:50,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.2,8.22,,0.0,0.0,,23.8,Dark green,,Sunny,True,,,,
pond_e2db7a6b,West Godavari,2026-01-21,Morning,07:47,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.1,7.9,,0.01,0.25,,23.9,Saturated green,,Sunny,True,,,,
pond_bee2e7f5,West Godavari,2026-01-21,Morning,07:47,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.5,8.14,,0.03,0.5,,23.6,Saturated green,,Sunny,True,,,,
pond_b7082dc1,West Godavari,2026-01-21,Morning,07:40,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.2,7.75,,0.0,0.0,,23.3,Transparent,,"Sunny, Foggy",True,,,,
pond_f6d09111,West Godavari,2026-01-19,Evening,16:10,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,11.6,8.44,,,,,26.5,Light green,,Sunny,True,,,,
pond_27785ee9,West Godavari,2026-01-19,Evening,15:55,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,11.1,8.1,,,,,26.4,Light green,,Sunny,True,,,,
pond_690fd7d6,West Godavari,2026-01-19,Evening,15:45,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,11.3,8.34,,,,,26.5,Dark green,,Sunny,True,,,,
pond_f6d09111,West Godavari,2026-01-19,Morning,08:20,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.7,8.3,,0.0,0.0,,24.4,Light green,,Foggy,True,,,,
pond_27785ee9,West Godavari,2026-01-19,Morning,08:10,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.5,7.95,,0.02,0.5,,24.5,Light green,,Foggy,True,,,,
pond_690fd7d6,West Godavari,2026-01-19,Morning,07:50,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.2,8.22,,0.02,0.25,,24.5,Dark green,,Foggy,True,,,,
pond_89aabef8,West Godavari,2026-01-18,Evening,16:51,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,10.3,8.48,,,,,26.2,Saturated green,,Sunny,True,,,,
pond_05d9df8f,West Godavari,2026-01-18,Evening,16:10,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,12.0,8.34,,,,,25.9,Saturated green,,Sunny,True,,,,
pond_05d9df8f,West Godavari,2026-01-18,Morning,08:30,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.9,7.93,,0.01,0.25,,23.6,Saturated green,,Foggy,True,,,,
pond_89aabef8,West Godavari,2026-01-18,Morning,08:08,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.1,8.1,,0.01,0.25,,23.4,Saturated green,,Foggy,True,,,,
pond_2e1713ae,Nellore,2026-01-10,Evening,15:56,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)",False,9.0,8.21,,,,,30.1,Light brown,,"Sunny, Cloud cover 75%",True,,,,
pond_2e1713ae,Nellore,2026-01-10,Morning,08:05,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)",False,3.4,7.93,,0.0,0.0,,25.4,Light brown,,"Sunny, Cloud cover 75%, Foggy",True,,,,
pond_da579dd5,Nellore,2026-01-09,Evening,16:27,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)",False,8.5,8.21,,,,,30.2,Light brown,,"Sunny, Cloud cover 50%",True,,,,
pond_da579dd5,Nellore,2026-01-09,Morning,08:00,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)",False,3.2,7.96,,0.0,0.0,,25.1,Light brown,,"Sunny, Cloud cover 75%, Foggy",True,,,,
pond_bd0e0d33,West Godavari,2026-01-08,Evening,16:02,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",False,10.4,8.44,,,,,26.8,Dark green,,Sunny,True,,,,
pond_51789df8,West Godavari,2026-01-08,Evening,15:51,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",True,10.1,9.21,,,,,26.9,Dark green,,Sunny,False,Ph,Jaggery,True,
pond_aae02d77,West Godavari,2026-01-08,Evening,15:31,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",False,10.4,8.39,,,,,26.9,Dark green,,Sunny,True,,,,
pond_bd0e0d33,West Godavari,2026-01-08,Morning,08:16,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO), API Ammonia Test Kit",False,4.2,7.74,,0.01,0.25,,24.2,Dark green,,Sunny,True,,,,
pond_51789df8,West Godavari,2026-01-08,Morning,07:53,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO), API Ammonia Test Kit",True,4.3,8.31,,0.03,0.25,,24.8,Dark green,,Sunny,True,,,True,True
pond_aae02d77,West Godavari,2026-01-08,Morning,07:26,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO), API Ammonia Test Kit",False,4.5,7.81,,0.01,0.25,,24.6,Dark green,,Sunny,True,,,,
pond_bf58902e,Nellore,2026-01-07,Evening,16:06,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)",False,10.6,8.09,,,,,30.4,Transparent,,"Sunny, Cloud cover 50%",True,,,,
pond_1d648007,Nellore,2026-01-07,Evening,15:58,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)",False,10.6,8.31,,,,,30.4,Light green,,"Sunny, Cloud cover 50%",True,,,,
pond_4302964d,West Godavari,2026-01-07,Evening,15:56,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",False,9.5,8.41,,,,,26.7,Dark green,,Sunny,True,,,,
pond_868241e3,West Godavari,2026-01-07,Evening,15:51,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,10.9,8.5,,,,,27.5,Saturated green,,Sunny,True,,,,
pond_c30c0534,Nellore,2026-01-07,Evening,15:46,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)",False,10.8,8.19,,,,,30.4,Light green,,"Sunny, Cloud cover 50%",True,,,,
pond_ac7bb683,West Godavari,2026-01-07,Evening,15:46,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",False,11.4,9.11,,,,,26.6,Dark green,,Sunny,False,Ph,Requested during morning measurement,,
pond_a72a9ad7,West Godavari,2026-01-07,Evening,15:42,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,11.4,8.47,,,,,26.9,Saturated green,,Sunny,True,,,,
pond_0b0963e5,West Godavari,2026-01-07,Evening,15:41,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,10.5,8.34,,,,,26.0,Dark green,,Sunny,True,,,,
pond_a0b42194,West Godavari,2026-01-07,Evening,15:36,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO)",False,11.8,9.04,,,,,26.9,Dark green,,Sunny,False,Ph,Requested during morning measurement,,
pond_1c1e7d4b,Nellore,2026-01-07,Evening,15:35,Regular ara pond,Treatment,Chandu,"pH pen #8, Winkler's Method (DO)",False,8.5,8.28,,,,,30.1,Light green,,"Sunny, Cloud cover 50%",True,,,,
pond_d2e83c32,West Godavari,2026-01-07,Evening,15:33,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",False,10.0,8.46,,,,,27.0,Saturated green,,Sunny,True,,,,
pond_87edd7c9,West Godavari,2026-01-07,Evening,15:32,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO), API Ammonia Test Kit",False,9.6,8.37,,,,,26.4,Dark green,,Sunny,True,,,,
pond_0b0963e5,West Godavari,2026-01-07,Morning,08:06,Regular ara pond,Treatment,Ravi,"API Ammonia Test Kit, pH pen #11, Thermometer #4, Winkler's Method (DO)",False,3.7,8.22,,0.0,0.0,,23.4,Dark green,,Sunny,True,,,,
pond_1c1e7d4b,Nellore,2026-01-07,Morning,07:58,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)",False,3.4,8.02,,0.0,0.0,,25.9,Light green,,"Sunny, Cloud cover 75%, Foggy",True,,,,
pond_c30c0534,Nellore,2026-01-07,Morning,07:44,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)",False,3.5,7.91,,0.01,0.25,,25.1,Light green,,"Sunny, Cloud cover 75%, Foggy",True,,,,
pond_d2e83c32,West Godavari,2026-01-07,Morning,07:40,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.1,8.13,,0.02,0.25,,23.3,Saturated green,,"Sunny, Foggy",True,,,,
pond_4302964d,West Godavari,2026-01-07,Morning,07:38,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO), API Ammonia Test Kit",False,4.0,8.09,,0.02,0.25,,24.8,Dark green,,Sunny,True,,,,
pond_868241e3,West Godavari,2026-01-07,Morning,07:30,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.8,8.02,,0.0,0.0,,23.3,Saturated green,,"Sunny, Foggy",True,,,,
pond_a72a9ad7,West Godavari,2026-01-07,Morning,07:26,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",False,3.8,7.93,,0.01,0.25,,23.1,Saturated green,,"Sunny, Foggy",True,,,,
pond_ac7bb683,West Godavari,2026-01-07,Morning,07:26,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO), API Ammonia Test Kit",False,3.4,8.7,,0.06,0.25,,25.1,Dark green,,Sunny,False,"Ph, Ammonia Nh3","Jaggery, Stop feeding for 24 hours, Zeolite",,
pond_1d648007,Nellore,2026-01-07,Morning,07:25,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)",False,4.0,8.0,,0.0,0.0,,24.8,Light green,,"Sunny, Cloud cover 75%, Foggy",True,,,,
pond_bf58902e,Nellore,2026-01-07,Morning,07:14,Regular ara pond,Treatment,Chandu,"pH pen #8, API Ammonia Test Kit, Winkler's Method (DO)",False,3.9,7.76,,0.0,0.0,,24.6,Transparent,,"Sunny, Cloud cover 75%, Foggy",True,,,,
pond_a0b42194,West Godavari,2026-01-07,Morning,07:12,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO), API Ammonia Test Kit",False,3.4,8.41,,0.06,0.5,,24.9,Dark green,,Foggy,False,Ammonia Nh3,"Jaggery, Stop feeding for 24 hours, Zeolite",,
pond_87edd7c9,West Godavari,2026-01-07,Morning,07:03,Regular ara pond,Treatment,Sanjay,"pH pen #12, Thermometer #3, Winkler's Method (DO), API Ammonia Test Kit",False,3.5,7.84,,0.01,0.25,,25.2,Dark green,,Foggy,True,,,,
pond_fb9877ae,West Godavari,2026-01-06,Evening,16:10,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,10.1,8.24,,,,,26.3,Dark green,,Sunny,True,,,,
pond_319c1ff7,West Godavari,2026-01-06,Evening,15:54,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,10.6,8.44,,,,,26.3,Dark green,,Sunny,True,,,,
pond_56e8a695,West Godavari,2026-01-06,Evening,15:46,Regular ara pond,Treatment,Ravi,"pH pen #11, Thermometer #4, Winkler's Method (DO)",False,11.3,8.4,,,,,26.4,Dark green,,Sunny,True,,,,
